,box_width,box_height,kp_1_x,kp_1_y,kp_2_x,kp_2_y,kp_3_x,kp_3_y,kp_4_x,kp_4_y,kp_5_x,kp_5_y,kp_6_x,kp_6_y,kp_7_x,kp_7_y,kp_8_x,kp_8_y,kp_9_x,kp_9_y,kp_10_x,kp_10_y,kp_11_x,kp_11_y,kp_12_x,kp_12_y,kp_13_x,kp_13_y,kp_14_x,kp_14_y,kp_15_x,kp_15_y,kp_16_x,kp_16_y,kp_17_x,kp_17_y,exercise
0,0.31111112,0.77592593,0.68445295,0.13216789,0.71787167,0.11849837,0.65495056,0.11261969,-0.91071427,-0.2124105,0.55988085,0.08727698,0.8056575,0.16860546,0.30643174,0.1515795,0.9297531,0.2733411,0.07487702,0.25296307,0.8034023,0.33271033,0.33458266,0.31865847,0.72167635,0.46846163,0.40381163,0.47208327,0.7802922,0.65500355,0.4159789,0.68196195,0.7345895,0.864441,0.45462465,0.9069839,Squat
1,0.3101852,0.77592593,0.6812919,0.13211757,0.7167793,0.11854339,0.6516055,0.112394,-0.9164179,-0.2124105,0.5585112,0.08671585,0.80805963,0.16918606,0.30685636,0.15086263,0.9330893,0.27528343,0.07513542,0.25284377,0.80722415,0.33227906,0.33614475,0.31885165,0.7213655,0.46852532,0.40204886,0.4715152,0.7807822,0.6552625,0.41368818,0.68179137,0.7324888,0.86431605,0.4524072,0.90760696,Squat
2,0.30925927,0.77592593,0.67959815,0.13241431,0.7158086,0.118594855,0.64879817,0.1127749,-0.9221557,-0.2124105,0.556159,0.087389804,0.8104658,0.16920787,0.30749872,0.15157896,0.934444,0.27598214,0.0760624,0.25414577,0.80998707,0.3329523,0.336588,0.31953484,0.72186154,0.4679909,0.40144756,0.471157,0.78083533,0.6549024,0.4139185,0.68165284,0.73076236,0.86458653,0.45193297,0.90815693,Squat
3,0.30925924,0.7777778,0.67751986,0.13351034,0.71306497,0.119719036,0.6468956,0.11394118,-0.9251498,-0.21071428,0.55478925,0.08881298,0.8079059,0.17051026,0.30723894,0.15278076,0.9333053,0.27745104,0.075990036,0.25498667,0.8101788,0.33433267,0.33099404,0.32044792,0.7187107,0.46879777,0.399816,0.47171143,0.77828354,0.6546324,0.41321814,0.68073803,0.72672534,0.8642513,0.44693196,0.90697294,Squat
4,0.30833334,0.7768519,0.6827127,0.13471834,0.71646935,0.120676786,0.6512755,0.115403265,-0.9279279,-0.21096542,0.5569723,0.0906807,0.8100522,0.17062299,0.3107411,0.15428104,0.93543077,0.27574143,0.0822776,0.25536892,0.8193051,0.33404085,0.33016977,0.3203041,0.72102535,0.46959835,0.40288982,0.47277865,0.77956843,0.65658295,0.41645512,0.68153244,0.7317743,0.8679109,0.44880614,0.90764225,Squat
5,0.3074074,0.7768519,0.68110925,0.1342364,0.7149852,0.120398805,0.6500418,0.11498311,-0.93373495,-0.21096542,0.55594426,0.09030651,0.80803347,0.17016694,0.3081063,0.15401848,0.9327967,0.2742766,0.07898171,0.25554216,0.821793,0.33319148,0.33083117,0.32093593,0.7226923,0.4695804,0.40408677,0.4730459,0.78019387,0.65672135,0.41579965,0.6821469,0.73031837,0.86698455,0.44847023,0.90742856,Squat
6,0.30648145,0.775,0.6854099,0.13350116,0.71827215,0.119362324,0.6534972,0.11439934,-0.936556,-0.21266429,0.5577937,0.090443745,0.80967563,0.16936374,0.3101536,0.15465073,0.93353707,0.27178898,0.08025984,0.25648057,0.8289778,0.32997593,0.33403814,0.32093754,0.72573435,0.46966854,0.40701973,0.47381303,0.7821599,0.6567513,0.4176266,0.6828124,0.73373,0.86777365,0.44807902,0.9079505,Squat
7,0.30555555,0.775,0.6871523,0.13342464,0.72032654,0.11916839,0.6545879,0.11431593,-0.939394,-0.21266429,0.5581813,0.09016739,0.81224614,0.16889317,0.31129164,0.1544309,0.9342018,0.27207047,0.08254347,0.25689262,0.8300972,0.33042133,0.33719522,0.3208112,0.7281547,0.46944866,0.40833932,0.47367612,0.7844056,0.65668714,0.4184009,0.6826945,0.7362333,0.86751425,0.44929293,0.90748733,Squat
8,0.30555555,0.77592593,0.68706346,0.13343744,0.72040147,0.11921043,0.654507,0.114364594,-0.939394,-0.2124105,0.55882186,0.09008418,0.81250405,0.16852163,0.31233808,0.15422559,0.9325628,0.2707963,0.08311629,0.25609374,0.83146286,0.3294893,0.3368134,0.31978127,0.72838056,0.46898592,0.40915442,0.47325405,0.78450686,0.6561194,0.41866153,0.6819735,0.73511183,0.866023,0.4485425,0.9059019,Squat
9,0.30555555,0.7740741,0.6808061,0.13189563,0.7156995,0.11775236,0.64900166,0.11270196,-0.939394,-0.21411483,0.5568652,0.0884137,0.81135017,0.16770297,0.31140292,0.1537619,0.93242764,0.26996952,0.081621476,0.2557964,0.8275989,0.3306285,0.33870682,0.31911162,0.7265407,0.46897414,0.40777645,0.4734218,0.7838389,0.6561062,0.4176423,0.68261886,0.7342233,0.86620516,0.44968474,0.90726787,Squat
10,0.30555555,0.775,0.67966866,0.13215806,0.7148628,0.11806998,0.6480929,0.112965204,-0.939394,-0.21266429,0.5561637,0.0890679,0.810328,0.16888383,0.31108093,0.15503182,0.93254447,0.270974,0.08217499,0.25679848,0.8266177,0.33178693,0.33820343,0.31948698,0.72562796,0.46897352,0.40724477,0.47344464,0.7835112,0.65611136,0.41692433,0.68282455,0.7343856,0.86612606,0.44938168,0.9076629,Squat
11,0.30555555,0.775,0.6844377,0.13212986,0.71733654,0.118243374,0.6538554,0.11297559,-0.939394,-0.21266429,0.55834836,0.08928026,0.8068497,0.1693724,0.3091554,0.15529904,0.93418115,0.2710117,0.08316223,0.25684562,0.82194895,0.33204773,0.34276906,0.3203803,0.7264484,0.4687771,0.40885937,0.4732998,0.78280663,0.6559488,0.41745844,0.68325007,0.73456156,0.8653932,0.44858328,0.90733063,Squat
12,0.30648145,0.77500004,0.68609643,0.13263799,0.7167457,0.11846409,0.655095,0.113545515,-0.936556,-0.21146952,0.5561438,0.090176366,0.8027434,0.1698306,0.30640382,0.15661287,0.93116385,0.2716325,0.08275094,0.25854576,0.8137208,0.33286232,0.34422842,0.32198158,0.72447276,0.46926674,0.40767407,0.47410056,0.7789858,0.6569239,0.41588297,0.68431276,0.7346711,0.8667761,0.44582275,0.90742666,Squat
13,0.30648145,0.7740741,0.68264246,0.12888777,0.7142143,0.11436727,0.65072566,0.1097783,-0.936556,-0.21291865,0.55290127,0.08773428,0.8034324,0.16895373,0.3078254,0.15592879,0.9306405,0.27227554,0.08528832,0.2586144,0.8053288,0.33037555,0.3456946,0.32111079,0.72220665,0.4678507,0.40583292,0.4724692,0.7755315,0.656114,0.41526085,0.6831615,0.7338547,0.8670595,0.44601062,0.90726274,Squat
14,0.30648145,0.7740741,0.68159324,0.12772444,0.7138055,0.11279486,0.6481952,0.1085247,-0.936556,-0.21172248,0.54869753,0.08803006,0.80282253,0.17109899,0.30696306,0.1577069,0.93023676,0.27416453,0.08399104,0.26010218,0.79846305,0.3261124,0.3506882,0.32220438,0.7207722,0.46881136,0.40364054,0.47329667,0.773243,0.65680873,0.41370812,0.6844009,0.7327216,0.8682348,0.44325852,0.9092109,Squat
15,0.3074074,0.7768519,0.67517203,0.1282795,0.70979077,0.11379263,0.6428239,0.10882718,-0.93373495,-0.20858163,0.54620445,0.088631436,0.80028236,0.17436622,0.30642807,0.15845469,0.92802787,0.27804276,0.08595223,0.25974068,0.7858876,0.3264633,0.3569976,0.32240444,0.7162823,0.46853593,0.40006462,0.47182396,0.77045125,0.65601856,0.41060308,0.6825545,0.7288748,0.86801064,0.44296002,0.9093041,Squat
16,0.3083333,0.7796296,0.66746414,0.12842104,0.7033067,0.11401339,0.6348736,0.108870886,-0.93093103,-0.2054632,0.5384858,0.089438684,0.7950601,0.17698674,0.30278972,0.15997839,0.92429173,0.28110015,0.087302476,0.25999334,0.777181,0.32955262,0.3613197,0.32475293,0.7113825,0.4691675,0.39612103,0.4719811,0.76679665,0.65523905,0.4099561,0.6816896,0.72304696,0.86649036,0.4428289,0.9082755,Squat
17,0.30740738,0.7805556,0.66543055,0.1292783,0.701555,0.114865184,0.6329491,0.10971065,-0.93674713,-0.20284696,0.5361351,0.09074554,0.79251665,0.17981975,0.29835984,0.16139372,0.9242933,0.28419006,0.084340386,0.26023513,0.7766396,0.3333475,0.37290263,0.32871082,0.7080926,0.4710703,0.39124072,0.4735577,0.7632981,0.6570976,0.40392444,0.6838179,0.72444624,0.867798,0.43845397,0.9100025,Squat
